idx,txid,code,ok,submitErr,reveal,latMs,key,credit
0,c2ac51d2f4396a38d4a2ba4d4a5f4576b605c5838a217c2c24919cb3b48bb2b1,VALID,true,false,false,35.81,E1-ours-c50-r5,false
1,c7112bf59aac97a981cd1fe025ea5d3a2b424965657eea2f5686766d9742bf9e,VALID,true,false,false,35.31,E1-ours-c50-r5,false
2,fbe02ce4bad39f0a2ae5aa6b6a481fa9b5c80e911c3b4bacb136ce54738ee268,VALID,true,false,false,35.31,E1-ours-c50-r5,false
3,b21c7fb3fa00d610291460f4eac46056a4bfccfe56bdced61dded8c24738f3bc,VALID,true,false,false,46.69,E1-ours-c50-r5,false
4,5bcad46c0e66e3adc50757d35d5e9434e544d9144409facd1453bf9b18b3cf3b,VALID,true,false,false,69.91,E1-ours-c50-r5,false
5,12a14ff179f9d5d34d17f443cd924db6215fa14ef9cb0914fba397ef2b7689c9,VALID,true,false,false,55.81,E1-ours-c50-r5,false
6,873eaf12a0b9a591de685b46b73e5b88e79cbf8c9448b19cec5dd4adef0cb4a8,VALID,true,false,false,44.24,E1-ours-c50-r5,false
7,2be6a871bad38fd5b7513a012ebbf48ce3fadc3a1e0d9c0fcbfa17989b6f2533,VALID,true,false,false,75.53,E1-ours-c50-r5,false
8,f720a6fe78d785c73eb6a85b05877a105d446ee68e32cd4cd0012f9f81e46b0e,VALID,true,false,false,67.19,E1-ours-c50-r5,false
9,d62d3c7b57d42794b454c79c5da00848acba814e268a2df526fe781e0c59f5f5,VALID,true,false,false,55.81,E1-ours-c50-r5,false
10,12015fe39b5d55eb23a0c8a5baf4c9f3b0888e72b4b8b922f71a05910fd98d70,VALID,true,false,false,55.19,E1-ours-c50-r5,false
11,f8217883d4b26a77c900954264cc19756a993441228c2127b3295ba1f29b872c,VALID,true,false,false,75.53,E1-ours-c50-r5,false
12,d7a3f1a9a3fe8112a50fadb4ccdfa872a6ffb522b5e32e8fcf79a72c7ed26e79,VALID,true,false,false,76.15,E1-ours-c50-r5,false
13,3035b75493c05d351017cef3c9920d5b17fb1c530e095a49de5cceee162c7757,VALID,true,false,false,34.23,E1-ours-c50-r5,false
14,39b4dd3d8714b7b7c9d91a112b2ff8802c362de87edfea6bd3acd43bba9a184b,VALID,true,false,false,44.87,E1-ours-c50-r5,false
15,07eda5143f5515104db125ce32fdff55defc0a71fe6ddb2709b29c69dc128a11,VALID,true,false,false,34.23,E1-ours-c50-r5,false
16,3ea59cafeb0e3ab60836dacd38f85876174682c43a88825421ae39cf93448927,VALID,true,false,false,44.99,E1-ours-c50-r5,false
17,f8a203384f6b16f7061be52beb6627d13784b909d7c64000bf9d2ce4eea21478,VALID,true,false,false,67.70,E1-ours-c50-r5,false
18,d5ee11dd9811a8c723eaa4f7e10f0f078c0e63b2aa34a8431f1a2efb09b7998f,VALID,true,false,false,55.81,E1-ours-c50-r5,false
19,dffacfe4e0ed431a22f427cda3c9c4e9f8edd0a6d1ddcc651e93434f57f31682,VALID,true,false,false,55.19,E1-ours-c50-r5,false
20,23aa5d46c6d1aec724aa62a7003ec2e4af8e37e02ca4d59443b9f0b0d53fcc32,VALID,true,false,false,75.53,E1-ours-c50-r5,false
21,9f96e75ee4dec8337779b14ee2850b22eda8ae1e2492f3fa4100f155e04fbdd7,VALID,true,false,false,34.23,E1-ours-c50-r5,false
22,77f07cf8caf2f4acb40d3ad1ff915a2f99c122bec288099a4fafd13890e7cf26,VALID,true,false,false,75.53,E1-ours-c50-r5,false
23,f109dff34fe1c4d1d810c123a2fa1b258e5a0de964d06234e2ea9587a7216e76,VALID,true,false,false,67.70,E1-ours-c50-r5,false
24,636fd1d1f118eb37332b7af4050b2df98d88b886d3e6b02f05af4793805b4879,VALID,true,false,false,55.19,E1-ours-c50-r5,false
25,353fc04e2a612371831b69c53e5e6f8122f2790f0273d6bf23f0f94004b216ac,VALID,true,false,false,44.24,E1-ours-c50-r5,false
26,bcd1c0f07d976fbe4409aaf284bec897df87785176b9567bd8583bef9af5d319,VALID,true,false,false,35.31,E1-ours-c50-r5,false
27,72e3cc811ea5bc00d2c1b36e813d34f6587542d10631016661afa06e0394eab3,VALID,true,false,false,35.31,E1-ours-c50-r5,false
28,8bd6ebd9e29cc184b3e44c23f9a4d8a2ae555f6929d79b4ead9421ba2d6aad98,VALID,true,false,false,35.31,E1-ours-c50-r5,false
29,a8e0ace48c613591676684baed8d05c7d382fc2969116e092fc950232aacc22e,VALID,true,false,false,76.72,E1-ours-c50-r5,false
30,6b2fe7cda3c1bba5209c5c994a6eec1fa1a3c4ef9b944bf581442c08e61a705c,VALID,true,false,false,56.38,E1-ours-c50-r5,false
31,c866a188a2ca6e9235f3018ff189244ea3160ee5733c93616c3447697b2f7710,VALID,true,false,false,69.41,E1-ours-c50-r5,false
32,a0de616042ce7197c5b1d1ee5c34cfb2a0254a1b09eef4a805fc1859b8880bf3,VALID,true,false,false,45.44,E1-ours-c50-r5,false
33,0641ab75fb449972c44ff79f39227ffdd00adb13e4f8d64e32f2fe654b1190d9,VALID,true,false,false,45.44,E1-ours-c50-r5,false
34,ad4ed7c3cc08212f02740ce4916ff04b745ef4cba71f5f904cb5c3286d8d798b,VALID,true,false,false,56.38,E1-ours-c50-r5,false
35,7d58ec560e1dbcee274d706399e684d3a604fbcad15d521c44ab4304ebba8248,VALID,true,false,false,68.89,E1-ours-c50-r5,false
36,9f878a3acf4b4b9f30e72882f5d7d9848cf893dde21c3a5792ab4a1ef4bcb035,VALID,true,false,false,68.89,E1-ours-c50-r5,false
37,08c6d46afb2489f09c09dd42f0aa10e476170721a47f142b6dc6839006d21413,VALID,true,false,false,45.44,E1-ours-c50-r5,false
38,059fc7317717c22c2097f2402117274b9606ba9c193f4fc43f03a26898076046,VALID,true,false,false,69.91,E1-ours-c50-r5,false
39,e766cbd99826d207cb4327ad4e377d698b929e9d8637fc6eb02bd7daa241ae92,VALID,true,false,false,55.19,E1-ours-c50-r5,false
40,e1e3f09c9ed5a1c1cdd546f8b6caa7e232ee8fbba2a83a67f23ab1db346cf5e4,VALID,true,false,false,44.99,E1-ours-c50-r5,false
41,42b0efe5a3334654a8b79854b26b16b2efb77752532ea1cf497b06deca36a45f,VALID,true,false,false,75.53,E1-ours-c50-r5,false
42,82a21cfd1c7ff04f2ffe3a990c95b17d2b61a78013031157cd2284e1a0ecfa60,VALID,true,false,false,67.70,E1-ours-c50-r5,false
43,ad55f38a417a7059e71b458e7ad795dc7cb4bc11b9d51b56f21e228e473692c8,VALID,true,false,false,55.81,E1-ours-c50-r5,false
44,a4ee2ff913a87eeb3e2e1eec11997686b68233023caa69b46f0521ee87c8a3b8,VALID,true,false,false,75.53,E1-ours-c50-r5,false
45,278b5cac1662da9379dfefb59e69cb028ce2edae5144233f4987687b191f6481,VALID,true,false,false,68.21,E1-ours-c50-r5,false
46,df63763101b6838fddf47b769c9fa0985cc1caaee05468546297a0f7e646c03b,VALID,true,false,false,44.24,E1-ours-c50-r5,false
47,07b18fddc1910f3feb609cd01825f191eb89fa025c4d41110c8acd21abe844da,VALID,true,false,false,75.53,E1-ours-c50-r5,false
48,55642b31b69bbe5da396c64d9b38e76ac7b80417d6eabb4190e759c7b9abd7e2,VALID,true,false,false,75.53,E1-ours-c50-r5,false
49,bd2aee55ca151beabbbb21bb0d2fa892ebe268078884d07e3c8d3843a87774c6,VALID,true,false,false,35.31,E1-ours-c50-r5,false
50,824cde1b262c670a4987b96a0f876cf368083627634314448ceb37f81df312e9,VALID,true,false,false,54.72,E1-ours-c50-r5,false
51,6c676e4614838cc680c00e1eef4ae11e33410f3c2e307e0c2ef01b7e371ab22b,VALID,true,false,false,54.72,E1-ours-c50-r5,false
52,6dcafba63292382847149a3a7b940b4cb9e082407d96fe792c6bba7458a8fea1,VALID,true,false,false,54.72,E1-ours-c50-r5,false
53,c1ce45682499a7b120d1ae2426f109c87c668c39a1110f0ef21d7c20bc391e7a,VALID,true,false,false,55.23,E1-ours-c50-r5,false
54,e52a499bea74e471255fee8b39f648adcf42ace8adb2c05ef8dcda2c849a493f,VALID,true,false,false,54.22,E1-ours-c50-r5,false
55,4d5547a5faa40702d901b2c2e7bbcab4b0e397d30a0a81f549ec1443eeb7f7fa,VALID,true,false,false,54.22,E1-ours-c50-r5,false
56,61c1bf9407a5fe7cc57d902b5b34dd8e21d8fe99104dd1d41b244d00df70aeff,VALID,true,false,false,54.22,E1-ours-c50-r5,false
57,0dabaaff2abacea24b02a18784f5fe3c06678631a7b21793f4374190ccaa6f4a,VALID,true,false,false,64.02,E1-ours-c50-r5,false
58,fc34b5c54e1cae7d61ae0c0cda47594bcf25157f15127afe6f0bafc29aec6074,VALID,true,false,false,54.22,E1-ours-c50-r5,false
59,729e8828f723c49d41527114bd6326a788f7f378e8d66c00e82384ac25baa0bf,VALID,true,false,false,64.02,E1-ours-c50-r5,false
60,3de4a8990364de188470047c00746db65262e10d13c78cd49e7fd0af40b34683,VALID,true,false,false,53.38,E1-ours-c50-r5,false
61,40d9bd9c992f11b608e1bd932f9ee7434b2b6104e4e9c11f545cdd5f4585c1cb,VALID,true,false,false,53.38,E1-ours-c50-r5,false
62,2b04ae2bfae16c60099494ec7130a8bd9915b491ad17f202717306cc420c2f22,VALID,true,false,false,44.59,E1-ours-c50-r5,false
63,ce3758c19c0b1f8ca5b7e507a081f3db0d22f578550c71cf954db790761b7e34,VALID,true,false,false,53.38,E1-ours-c50-r5,false
64,41ccacc987cff9214ccb3ec1fdabb4fd85890e86c611c070a642066d6523eb56,VALID,true,false,false,53.38,E1-ours-c50-r5,false
65,8373c1fe277d459227db6da319285d9944307ecbd23a595ca0531b0bf5f7553f,VALID,true,false,false,53.38,E1-ours-c50-r5,false
66,315f43acf6a31a0a22f715faa976bbbe2cc58c197a210e5230e0fbf1d19d727b,VALID,true,false,false,53.38,E1-ours-c50-r5,false
67,6089bf863193f8c8a7834bb3c5454df8d628eb19004612f81107f7d043fddb5f,VALID,true,false,false,52.64,E1-ours-c50-r5,false
68,7c2c18e4965266b9beb9f6164f413c7ad901d0cf5706adaed72c9922dd758927,VALID,true,false,false,43.34,E1-ours-c50-r5,false
69,e6ede25adffd91e20c28a560d54814662c11405f755ddb28ebb213ec90ac0b0a,VALID,true,false,false,52.64,E1-ours-c50-r5,false
70,c4ba6310450a02186fb87e8c03626aed0536bff821896b2690ba41eb6219b07c,VALID,true,false,false,53.64,E1-ours-c50-r5,false
71,b92bb901cf1a82e3f7183bb9ba723a44b10fed72005549be0c31db09e22218e6,VALID,true,false,false,54.15,E1-ours-c50-r5,false
72,d9c00e52350be563d965f2bcbeebe559276fd5727b5893a50f0246bca7198140,VALID,true,false,false,64.67,E1-ours-c50-r5,false
73,c2b2f21e7d5e3faff2c61eae8773221ec9c6a5e9300f0d8d487e32c0cf744352,VALID,true,false,false,64.67,E1-ours-c50-r5,false
74,528b798882547cdb99a20e17d1f037f811f512e4edeac31a3f4ad42bbedcc7ee,VALID,true,false,false,64.67,E1-ours-c50-r5,false
75,ee423b1f1045ddb5a1f09a855cb25d6c07d30b9fb25db5d1d2aceb5502992e4d,VALID,true,false,false,53.64,E1-ours-c50-r5,false
76,097aa0de15a0538f7359c509d0f64eff635a18b7d2878197bbcf7dbd45b9daac,VALID,true,false,false,54.66,E1-ours-c50-r5,false
77,b6e3d58cb8b350fe7f59a13796edc00e4d2977615963683af9e511f2b9248831,VALID,true,false,false,54.66,E1-ours-c50-r5,false
78,c4f68c74c0d886cfb0be831fd7c4f247c120c82365885b5709bbf44a0139ed34,VALID,true,false,false,54.15,E1-ours-c50-r5,false
79,e9a8057a9a33ecdb5a321c5365791b4f9aaa3b7a90c2b6a7841d20710c580213,VALID,true,false,false,54.66,E1-ours-c50-r5,false
80,b17c05803ca0228f9b70e8bae11f8053f80b987084ad4941dbbf369725c33227,VALID,true,false,false,52.67,E1-ours-c50-r5,false
81,da7c94f3c70566ca819ac8cc7b961e6aee2c7f1495f1a1e6d0b77091c723c827,VALID,true,false,false,52.16,E1-ours-c50-r5,false
82,89253c31926a9555ed922b636ec5589a00383c11a71820142578622e3b12bf7b,VALID,true,false,false,42.66,E1-ours-c50-r5,false
83,0c484eeafbf0518fe4701370380a387772cb45b72645d0b52fb99362cc7fbc9f,VALID,true,false,false,41.64,E1-ours-c50-r5,false
84,664aaa0380fb5de24f1ae860f0e5a272a38b9df3aa982e9f8178ca1339f08a03,VALID,true,false,false,52.16,E1-ours-c50-r5,false
85,cc1b611281d6c3e9da1da3432cce4cee06b4263a1b97463c928eabe306b979fd,VALID,true,false,false,41.63,E1-ours-c50-r5,false
86,f1da382065109b993ebeacd86852ddddaf4061866eab951b0aee127c5b957142,VALID,true,false,false,51.65,E1-ours-c50-r5,false
87,f566e666bc3b8ee9fb80ecb9ef59ff1f90d7f11e4fe40573eaa0b0aa57d03c5b,VALID,true,false,false,61.86,E1-ours-c50-r5,false
88,35ad82f67de40280ab5567dd835b7fe0ba767fc5d7ff498fe9242fe971f40a87,VALID,true,false,false,51.65,E1-ours-c50-r5,false
89,04a29613a305d9663a54726b25d47b71ff43e544703e263810ec5e4689b74edf,VALID,true,false,false,51.65,E1-ours-c50-r5,false
90,0a340880f3cdbb345e89affe3163994fa1efa31eab761fbae0662b0d2e7aa5d8,VALID,true,false,false,53.97,E1-ours-c50-r5,false
91,60fbba4faf984318308dc938ce92703696d4cde6a300c0747b9860ccf269b8d1,VALID,true,false,false,54.55,E1-ours-c50-r5,false
92,d0610cf15285d73abff609a1fa9d0d7f38411056f1bf9328c2319a4bd4183a22,VALID,true,false,false,53.97,E1-ours-c50-r5,false
93,9522f6bfc85196cc1b28b58476ce7a6fa2f091d9d504edef9c711e63bad55c02,VALID,true,false,false,54.55,E1-ours-c50-r5,false
94,a03dfbb1e922c61dfc7da4d44918355f8d3ce23b5aa63528f71eff6525971811,VALID,true,false,false,54.55,E1-ours-c50-r5,false
95,514b05cf0d888f10518ab264e5fe1b5130111ceb587465d810b4c56c620c5485,VALID,true,false,false,53.97,E1-ours-c50-r5,false
96,c77fb6ce6a1bccb1381b755876bd4f5a9f939040f98cfc2d8543dbfc513d20c5,VALID,true,false,false,54.55,E1-ours-c50-r5,false
97,578a4d0ee96ce980e8321084d1a261aa85381efab7f962406cc1f4391bbba731,VALID,true,false,false,54.55,E1-ours-c50-r5,false
98,aaaf403ffaa607c33393c1bd07f139bc09079fe2fb00ea3b3ede5b879d3f9aeb,VALID,true,false,false,44.33,E1-ours-c50-r5,false
99,924cc124e9a2efd5b78fe7c24cacb4de17baaed2176b133d1d803950ac7636e6,VALID,true,false,false,53.97,E1-ours-c50-r5,false
100,8a46af835bbd43ef609f7ea0ffab16869731b49d0ddde7f3731ba922ceb6fada,VALID,true,false,false,62.01,E1-ours-c50-r5,false
101,083e0fb58b8a09da9292f5c0759cb5dec769a248f831de60ce5d3f10190a4d0f,VALID,true,false,false,51.88,E1-ours-c50-r5,false
102,f656c1d70345c7bf18023fb555e34d28deb9bd40677b8007aa7a1f3e3d2d643e,VALID,true,false,false,51.88,E1-ours-c50-r5,false
103,6d6aee22f52faf74f1aa27141f2b267ade49565e3655013409cc17db3be8c4d6,VALID,true,false,false,62.01,E1-ours-c50-r5,false
104,4434a83636729356527de63384a208b2cfa1bcafa667dbba89eeac5f52c90355,VALID,true,false,false,62.01,E1-ours-c50-r5,false
105,795e1df63404125c12a73790b80ef04963cb3a1b163d2a39ddc30689435b886f,VALID,true,false,false,51.38,E1-ours-c50-r5,false
106,04017d7905842bd3f608aacbe5e41b3d0b167f33cbb17c68063168bbbbc12691,VALID,true,false,false,62.01,E1-ours-c50-r5,false
107,7fe7c2c6724084f43210224d03c7d65aa792b0d7264ad1976e4221cca77daedd,VALID,true,false,false,51.38,E1-ours-c50-r5,false
108,77fefe27b9992e73ea47bba97dd8442184ba22e01fa630984783a0105c039497,VALID,true,false,false,50.87,E1-ours-c50-r5,false
109,1e82273327023788688d0d6ba9b80a4daa0da849f340f0e661da051793baf993,VALID,true,false,false,61.51,E1-ours-c50-r5,false
110,c7b656662dd4f94a2b7466f07013ca266a05f98721e75765b85360b0a203ce13,VALID,true,false,false,42.08,E1-ours-c50-r5,false
111,b8d5a2048b8cd0a8baf1dee73da41a02c9ad15c3f00e61631d60a8466fb3f396,VALID,true,false,false,52.21,E1-ours-c50-r5,false
112,a59bee910b4b95ed6beeab0d30197b3922a67a85fe481e41d9b1c569b44a199d,VALID,true,false,false,52.72,E1-ours-c50-r5,false
113,3247a1373931b6141652f0e946ef301b8c89ba0cae46478f3c0a8496ad596f64,VALID,true,false,false,52.72,E1-ours-c50-r5,false
