idx,txid,code,ok,submitErr,reveal,latMs,key,credit
0,c0d3d10d762dbf74bd8b40e16944d3c89c1cb36acba84b4235220b4402698431,MVCC_READ_CONFLICT,false,false,false,2167.44,E1-vanilla-c5-r1,false
1,ae48638201905e67c7df608e26872a1f9ff02180f96d8faae780a7a529cd9350,MVCC_READ_CONFLICT,false,false,false,2167.44,E1-vanilla-c5-r1,false
2,34bc5aeff51b0990ae966f0ad13db9552144f10f7dcd0faf6a16d7e97c5671b4,MVCC_READ_CONFLICT,false,false,false,2167.44,E1-vanilla-c5-r1,false
3,49936b6f527f582d2a501a69e2c7a5514724c0a816d48e7e57306697eec2b555,MVCC_READ_CONFLICT,false,false,false,2167.44,E1-vanilla-c5-r1,false
4,63edb1f69fa6bd4b0b94aa8fa806e3d79009ebee5b56b1df79982b8f70db0638,VALID,true,false,false,2167.44,E1-vanilla-c5-r1,false
5,4b80df22cac79b7f9587ec9b184b784340e0ce95fdd95be6a5215af77ce221e8,MVCC_READ_CONFLICT,false,false,false,2177.60,E1-vanilla-c5-r1,false
6,a6b692c0d701673fdb865f7342acd1927663f8efd2e64743bc0f9f4b5c287f63,MVCC_READ_CONFLICT,false,false,false,2177.60,E1-vanilla-c5-r1,false
7,74d5a7c3a7ed353a26b52456583cd4904d9669c7690b161d6ae53f71ecd07fb6,VALID,true,false,false,2177.60,E1-vanilla-c5-r1,false
8,925d7b43a8fddb04983a2992eba9fe4c6b056974f4485d19e2921752fdd1a9c6,MVCC_READ_CONFLICT,false,false,false,2177.60,E1-vanilla-c5-r1,false
9,8056fc5b4972cbf45d6e242a21087709cece1c577a62f958e85c10855cb9236b,MVCC_READ_CONFLICT,false,false,false,2177.60,E1-vanilla-c5-r1,false
10,2a42345324bf35f52682e1ab0f4c4556ad38f67069007bf5d72964f6408c99c8,MVCC_READ_CONFLICT,false,false,false,2160.66,E1-vanilla-c5-r1,false
11,f3fe62d3e90fe1ee9d3b4dc415e81d50b1eeb04a7d8526ab0719f6b8ad25a9cb,MVCC_READ_CONFLICT,false,false,false,2160.66,E1-vanilla-c5-r1,false
