idx,txid,code,ok,submitErr,reveal,latMs,key,credit
0,4920705d4c05a9b33d97db25e86654e706e08a9c86dc67fbfbbe08aa6d8a298d,VALID,true,false,false,26.80,E2-ht-c25-r1,false
1,1ed061809c368663e58ef563fbc8d62a278b15bb597df29579bd6535f0a40621,VALID,true,false,false,26.80,E2-ht-c25-r1,false
2,0d1485d8de7f9398d86b8be04b616e36bd2b424bb4e44fbeadfb8f90a9964da9,VALID,true,false,false,56.77,E2-ht-c25-r1,false
3,eaa2dc29fba5e54a132b2eaef115cc182e375648fec98058e399528c12023fb1,VALID,true,false,false,26.80,E2-ht-c25-r1,false
4,7d1f85dfd358acc5fb76ce32550482ccc7b2f4152baee357c4484361d64fef6d,VALID,true,false,false,26.80,E2-ht-c25-r1,false
5,305bc43bfe5dff5b63e0677548abf31ab832d7f0d95a6cfbb74e3d3b90188598,VALID,true,false,false,26.80,E2-ht-c25-r1,false
6,50b115138a48c2bb4e1a3ead386ab906aacb60ab8e6f40de896a0283b8d6e541,VALID,true,false,false,33.90,E2-ht-c25-r1,false
7,3c7519fe3e9063a6a8b04887cca80811f4773926c537d29228c74e9095cdecb8,VALID,true,false,false,33.90,E2-ht-c25-r1,false
8,0f448b1fc120ce5c1420175d27f36a00312665fcc69639377a669ace0641033a,VALID,true,false,false,33.90,E2-ht-c25-r1,false
9,99855e1b204ab69e88fc04faa2e6665e906fb527622000e8b8de6c6fc8728e57,VALID,true,false,false,33.90,E2-ht-c25-r1,false
10,0fd6a4fd598c157d22663505c767cac433ccde794fc19645d44f33cb3933682b,VALID,true,false,false,56.57,E2-ht-c25-r1,false
11,cb496d46e3da9f353a461d82ab07efa9e174c238e0320a12ddc75e82f990b5bf,VALID,true,false,false,33.90,E2-ht-c25-r1,false
12,e1869b24dba2632fbf95b042f6f71a6429b34528f33d77466902b310c04aaf55,VALID,true,false,false,56.26,E2-ht-c25-r1,false
13,284cca7ce82087d246e8e14fd2ed85c9c82a37ce79c8444b4b79c0dffe8d3e7b,VALID,true,false,false,34.40,E2-ht-c25-r1,false
14,ff4638b46d0abb46246dce063893e997dc27b2678bf359250eb3884e9b732737,VALID,true,false,false,34.40,E2-ht-c25-r1,false
15,03fde8deb7667d6ac8bebe49f5b8bcf80c003c36f3bcad8acde2a61b37659a48,VALID,true,false,false,26.80,E2-ht-c25-r1,false
16,d7679bf0817bceb4fe713d8d22ffb9b8bf0419a7dcfeaf97b2fd1198ad5ce295,VALID,true,false,false,26.29,E2-ht-c25-r1,false
17,d1adacf6fe98c70b6f060a2861cfb429a9700bf7d452fbf09ca84b2850c3c4db,VALID,true,false,false,26.29,E2-ht-c25-r1,false
18,a14f939a40060c5eedaa3a9a6570402b00b3ad380e0f64feed7f05d9f6ca25c4,VALID,true,false,false,56.26,E2-ht-c25-r1,false
19,e91c876fdc268553117d10a54eae43cdf8fd13ab97c938ad5245e6e4325c53d4,VALID,true,false,false,26.80,E2-ht-c25-r1,false
20,e5a30f4b528d6d4bb6f3d23ec8b5ac1e105c1a4d292be9bb1a155b1399ab6b4e,VALID,true,false,false,34.40,E2-ht-c25-r1,false
21,863904199f382ab698d7b4919f89b3ca22af76feefbf72016caacfc041fb885b,VALID,true,false,false,33.90,E2-ht-c25-r1,false
22,4b5937a7035d794e8b107198ba34e3229f9dcbdfb4c5f8fdad1925ad6d4beeef,VALID,true,false,false,33.90,E2-ht-c25-r1,false
23,a274695a03e737299242286086bea6f1e9e8a2101d7aa186d536f43ccdbf547b,VALID,true,false,false,56.26,E2-ht-c25-r1,false
24,8d0694ee700ede6f1d5624d6d4a0cd8577cf9dacfad15e12013601688ed5d7de,VALID,true,false,false,26.80,E2-ht-c25-r1,false
25,1be56d8b758868ca583f2d7dd5425c79160a234fd15ed9e30063a67fe5ea60c8,VALID,true,false,false,62.05,E2-ht-c25-r1,false
26,ab4d858271236e8e3c8af524f80af6d30def83dfb1cb100decea88018b78b561,VALID,true,false,false,39.00,E2-ht-c25-r1,false
27,09868bd96147dc5f1ad2ea6a9f4ae64b5fd58ce54e31375f766343298ecd341d,VALID,true,false,false,30.28,E2-ht-c25-r1,false
28,0b75c690d4d8120b7f750ffacdbb02c40f794d7d4af4011d72bace74ed56738c,VALID,true,false,false,39.00,E2-ht-c25-r1,false
29,ebc190d47534b7223ef5cf2431e36014413b6ce0c94ae6bcbe157f316afd8a6c,VALID,true,false,false,39.00,E2-ht-c25-r1,false
30,182f4434e5cb2cbd9e29dc39e8bbafbbe80ef7f2fe4a7c89422473b76d7a8284,VALID,true,false,false,29.97,E2-ht-c25-r1,false
31,7e94a6f1825cefd3952093abe367f40a85ab75e5a390bf25a2c0229e854b2dc9,VALID,true,false,false,39.00,E2-ht-c25-r1,false
32,28f0684782b0a052d6f208552640372ae95539e664848862626d8c557cb42faf,VALID,true,false,false,39.00,E2-ht-c25-r1,false
33,938a85f740460d948051c1a8d69c3af064e27aa666055767212f3ec9056104f7,VALID,true,false,false,29.97,E2-ht-c25-r1,false
34,b1f0898a7e421c2c2eef868401e590c0fbe06d059a5b20a8947c358466c0ef44,VALID,true,false,false,29.97,E2-ht-c25-r1,false
35,48a48d1812089536f2ff1278ae98a1dc76580139cad23853021d438cdbcbb84f,VALID,true,false,false,31.40,E2-ht-c25-r1,false
36,ac391b5441d8fcec9f0ed4b61426eaddc74c4d139b583cb22e52af40c07806c3,VALID,true,false,false,22.68,E2-ht-c25-r1,false
37,17df2fa3e24d3a6c92ff311adb73623a5758f771c20820fc066ced36edd58726,VALID,true,false,false,31.40,E2-ht-c25-r1,false
38,74f8b7997962b37b1267264c0e2704fb8efb24e7c1a8784f942eb9aa6739d5a4,VALID,true,false,false,54.45,E2-ht-c25-r1,false
39,5a8975a5db5f7ebc044037377dced386f831a697d1ab48078b97d4de0af69ede,VALID,true,false,false,31.40,E2-ht-c25-r1,false
40,4f80f704981d200ae2804d1087a581e4ff7fc385570197ec7013d268af26a367,VALID,true,false,false,54.45,E2-ht-c25-r1,false
41,72da28a5a407c1cadc0d6d3bbd2ed855f652bea6406252b1278d06c4a8c9c921,VALID,true,false,false,54.45,E2-ht-c25-r1,false
42,e47f769b76e50ae9936a53c41819647f0007557a5118423bfc99457b5bf78cb8,VALID,true,false,false,31.40,E2-ht-c25-r1,false
43,81cd7f4057c476f92feb0983d2ab1d568f3ef161b56cd840c76b790c8799e59c,VALID,true,false,false,31.40,E2-ht-c25-r1,false
44,1345de1de66715cecab4f8c57981e72f17fe9fbe7cd436ef1a6d383861af0282,VALID,true,false,false,54.45,E2-ht-c25-r1,false
45,1b12b0da34d377a4bd5a92548f4b1760dee11f0fbff6d8ffd0caa4c26e80896c,VALID,true,false,false,41.91,E2-ht-c25-r1,false
46,0e0fd2e661c61ae4970b4c82805dac57cab9392ef0f3343c35bc3f82370df028,VALID,true,false,false,41.91,E2-ht-c25-r1,false
47,d236fd9f5e5189554e468fb736af2c06419e6598acc4dc8e5582fbebfda21e9c,VALID,true,false,false,32.08,E2-ht-c25-r1,false
48,8d94d5e143df80f2045bb996761cfafd28c83f8ba206294e511144cdfa07985f,VALID,true,false,false,32.08,E2-ht-c25-r1,false
49,3ee2bea07b2d7c8ac69d69ff687b46d25cca2d8c75638691fbd04e85afad9183,VALID,true,false,false,41.91,E2-ht-c25-r1,false
50,2ad5f0ebf711b37cd1dd579aff18d8cd6e72c63bc2e398bb44ecc4d457067d2c,VALID,true,false,false,32.08,E2-ht-c25-r1,false
51,0745ac6471b9519adbed9983fda5df0a2c0b526d452087244dfeae9bb3a70dcb,VALID,true,false,false,31.77,E2-ht-c25-r1,false
52,7bd2590c412ee0826f2fec42a120d65ca4a15e9679c9dd45c077e3570a56fe9d,VALID,true,false,false,41.60,E2-ht-c25-r1,false
53,00aedc32a7b143885e517d5be363b98a4b38c376f4152138d59fd53fd7bdf745,VALID,true,false,false,65.27,E2-ht-c25-r1,false
54,56932ac7694811447ec64961925dd77a055359ffba8354d04e25526c4324f76c,VALID,true,false,false,41.60,E2-ht-c25-r1,false
55,6a6a61ed78b855218d59aa1a0858695cd4f527088cc532b583be0c1e9d063bd2,VALID,true,false,false,56.55,E2-ht-c25-r1,false
56,c71e6ee294837168f043a0336292aa14aa4f4ab66f2df8ed7219e1a22442e61a,VALID,true,false,false,56.55,E2-ht-c25-r1,false
57,ea368be2595dcf2f578b0634922269a7098220cebd6b25e429ea41545d9e6c5b,VALID,true,false,false,32.88,E2-ht-c25-r1,false
58,981f17baf881bfcf9871e0531a11062f1ea9de78f45ea47f128d270d94fe2ef5,VALID,true,false,false,32.88,E2-ht-c25-r1,false
59,c3e075400db9691a0eea8bf2a30ca861aeb6e33036f2e5c678f29c4e469abf1b,VALID,true,false,false,32.88,E2-ht-c25-r1,false
60,9fee4c53c02cc3726963032725a142d4c20b08512c4a44d67ff797b9e65e9457,VALID,true,false,false,23.05,E2-ht-c25-r1,false
61,7f0c609c51b5b2b4f8cdf483d6ceb455bc131b9b96074db99be08832f58e5353,VALID,true,false,false,32.88,E2-ht-c25-r1,false
62,81633b31219fa0812153369bad716cb3f65b53c49e2a82684d2195b873c2c88d,VALID,true,false,false,56.55,E2-ht-c25-r1,false
63,adabd8650d538411eaebfbad58b771c039e49e185ffeeb12347fb6b7cf7536eb,VALID,true,false,false,32.88,E2-ht-c25-r1,false
64,aa511bb5727864ca944d03c74ff4769ef137ef765b3c42d8199f2e4eabee9445,VALID,true,false,false,56.55,E2-ht-c25-r1,false
65,de525827a79a0c585d8d494a4e7da3e41a4efff0f4c1bfb29e5570c4e0248cb8,VALID,true,false,false,41.79,E2-ht-c25-r1,false
66,a45ad8a809b6d0ac80065ba22ad029db4c08864e611e09363cf885d35e6ed167,VALID,true,false,false,41.79,E2-ht-c25-r1,false
67,9c1c1f3e75195d28ddda42ade330e4cd742160339994423a75876d4e10aff61d,VALID,true,false,false,41.79,E2-ht-c25-r1,false
68,3e86d95f2f148513c0fb64467cf065141d1ec6e016ee6bf914684810599e5e33,VALID,true,false,false,75.63,E2-ht-c25-r1,false
69,5484e0a8aa9070891e875d7f67a33cb2712c53dec8b334317bc71dfab269fafc,VALID,true,false,false,33.50,E2-ht-c25-r1,false
