idx,txid,code,ok,submitErr,reveal,latMs,key,credit
0,80837ce73b69f5716b44d20275b3ed8b75cabea8f69db66d5d0a89a65ab7c8d4,VALID,true,false,false,36.41,E4-rr0-r17,false
1,a31f21af610b74333da065ae43571d482ed90f883463ea87f27afc46460f956f,VALID,true,false,false,35.91,E4-rr0-r17,false
2,4783d3d246d8593a479ad337881e0bf08881d2b6ad832cf7aea9882af6692f7b,VALID,true,false,false,36.41,E4-rr0-r17,false
3,2960a511f9a1b3205cdf56cba452b0ca4965e426f293e8f1799acbc9d5d14257,VALID,true,false,false,36.41,E4-rr0-r17,false
4,f6c84964d9fe02a5897c3a54f6c9ca5c4c2c8d84eed26c53fb8b73f92bf72a8b,VALID,true,false,false,64.87,E4-rr0-r17,false
5,71249062d5b7d5e685b93729a088df523526a96d86bdea7bfa631a248fb0509b,VALID,true,false,false,66.73,E4-rr0-r17,false
6,375919710c8ff62804f6ffbe8e5f5d10c3e1edbe754e0a15db0fc40a176d3d7a,VALID,true,false,false,45.15,E4-rr0-r17,false
7,4b6820c65f1cac96b79588ea4fc1d42f4d320c1d10fd1dbf3c971b0a2ef772eb,VALID,true,false,false,45.15,E4-rr0-r17,false
8,264ee27b910d85f9ad3614c754e78aa77d8279ec683d16b1bc9069b9e3ad69db,VALID,true,false,false,66.21,E4-rr0-r17,false
9,782d30592b2d7ab250ee1d9355fea28228a0ad3036526edc5c4072a9061bef62,VALID,true,false,false,64.35,E4-rr0-r17,false
10,83ceb6432263a2b4da79e85a1376a29581acb513ebccb586f414c69ec9efdfac,VALID,true,false,false,65.66,E4-rr0-r17,false
11,54c76102cfb2242366f4304caa9308f24ee51cbb8cd3c8cc718daf462a9a8a28,VALID,true,false,false,76.21,E4-rr0-r17,false
12,35bdb2f3288824653dbd19deae41a2fc4947893f857387fbaff864c4178756fc,VALID,true,false,false,62.78,E4-rr0-r17,false
13,5d5ff549d5740bf25df3f3789f53a2bde8770f24a6c15f45d909d77391999718,VALID,true,false,false,76.72,E4-rr0-r17,false
14,27e5eddb97d9ba9cf0355fb3588397120d6f7276be8267b3bc579067f53a014c,VALID,true,false,false,64.63,E4-rr0-r17,false
15,9fd9cba75f274296b884c78d7110ce78e073bc33f0ada69124f7f0282962c910,VALID,true,false,false,43.06,E4-rr0-r17,false
16,d8f5c91da8b89174c0b7a8f5fd4c7037a0e668860dde1cc363ad372222dfb7f9,VALID,true,false,false,76.21,E4-rr0-r17,false
17,456c5b8a55619c23a11e6433959f8b722f01a8cad4cd5e3f04b75aaa018dfc63,VALID,true,false,false,78.29,E4-rr0-r17,false
18,fb234575711f33accc42283498278028da67ed12431995c1787d962fc3d47fc0,VALID,true,false,false,64.63,E4-rr0-r17,false
19,8bcaa1aaa6ff52c0187cb19ca19f98268e5a097c60ab28249ed02512ef8403e5,VALID,true,false,false,76.72,E4-rr0-r17,false
20,cc9ae98b702484019a56f147f97143c34fc515ed16a363594556e7435ed3d032,VALID,true,false,false,64.63,E4-rr0-r17,false
21,bb242c5f404827e1f5cfd9c63efdae4d6ff173d881fbb91d735332d4d7ed7a6f,VALID,true,false,false,76.21,E4-rr0-r17,false
22,4117762d0caf9c9a058722933e2ec7d1df1870f81a17345d9066d81df8159c1e,VALID,true,false,false,43.06,E4-rr0-r17,false
23,5986b1497ca75cf7eddb3effcb7c4bfe40b531996fd535c22e536c491c9024ec,VALID,true,false,false,33.81,E4-rr0-r17,false
24,d0592cdaac28c37db69c4969a3090c73207dc4ea1d9646ff95403e08eff85dfe,VALID,true,false,false,43.06,E4-rr0-r17,false
