idx,txid,code,ok,submitErr,reveal,latMs,key,credit
0,4d892c5698325f2592471374e5f447978dd4eb63deda7e228b528799ca2741b1,VALID,true,false,false,33.57,E5-ht-det,false
1,d3754da19204e683d10ed7ea753940325765a71fe611e77577e31c6b86f2fb74,VALID,true,false,false,33.57,E5-ht-det,false
2,4fa4d7d08e5a0c32d53274092f379bafe585c443681191dcb6b01d4769f31b48,VALID,true,false,false,33.57,E5-ht-det,false
3,aa1ae9585e5250f57c1cdd10ecb08f33efbf2b85409570d48972aa8149ab6ce1,VALID,true,false,false,33.57,E5-ht-det,false
4,478f39233d94f1008576d0d845e254d72982ca16dbf86e0a225fb55355464493,VALID,true,false,false,44.09,E5-ht-det,false
5,642cff5911652b0c40afaed4b64581dea36bc7b077579ca191c73167682a6408,VALID,true,false,false,43.75,E5-ht-det,false
6,cd429f7558f0fdf1d1586631a0ef2afd1d2b64bba3153e7a7a8e20b41e73cb8e,VALID,true,false,false,68.29,E5-ht-det,false
7,aa8e017485b0d5b57c3c768384b65fe87a81c3c0374072305128d87248247be1,VALID,true,false,false,67.79,E5-ht-det,false
8,1a924b696672a1c5258213b88ca605506fd5727d3651b4d8dfdfae7d4cd50538,VALID,true,false,false,43.59,E5-ht-det,false
9,76b99dfd6e603159475c85a7dfa44826b003ce4c645742b12c6f6ce2490890e3,VALID,true,false,false,80.56,E5-ht-det,false
10,a1ab89e57012178101d49c2e6653d85ddb8cb67f183e7bfcc7560570aa3a700c,VALID,true,false,false,78.99,E5-ht-det,false
11,f510ed576fef3a10123023aabbc62596760a7cea69608e3166b367ce29c0d74b,VALID,true,false,false,55.75,E5-ht-det,false
12,26d691803df499c370c562b99775131a323b30a1e8bd4032c234018db7f190f7,VALID,true,false,false,80.56,E5-ht-det,false
13,8fb21676f63e56ddaafd3adc63e1568318a9c6bdea03b96300a6a84f0e992ab3,VALID,true,false,false,55.75,E5-ht-det,false
14,7f6647a3b62778e92894fea6d5a21646352368978bdca7f463ab8061fe62f9bd,VALID,true,false,false,43.75,E5-ht-det,false
15,fb768abbc8ebbde23b8d11515bd8f0faeabe3b09ce82106b8f47bc31bdcf9e5d,VALID,true,false,false,33.57,E5-ht-det,false
16,5be97b2543a5d992594af87050c3e74aad1f5e8928c71a555da2915040b83e93,VALID,true,false,false,43.75,E5-ht-det,false
17,a3d0337eb10907e142b5d1441ae29dc5597866a273d9ac0fea66be03a31f92f0,VALID,true,false,false,80.56,E5-ht-det,false
18,2e190b6e4e47627d348ea85ee5bc50091abcf4baac4c69876efc51a2901a7d25,VALID,true,false,false,55.75,E5-ht-det,false
19,007e1de9dc4adcb657fada1fdc2b8b075c0cdbb36a98fd3e50374ebe4caa8239,VALID,true,false,false,43.25,E5-ht-det,false
20,98d9f95a49606b29ba71a23698e874f9e5cee45533dde52af768da9046a4efaa,VALID,true,false,false,55.75,E5-ht-det,false
21,10ce1335566f1187e92000696da55ef1b3b1e2235083f2c2415f5075b658288b,VALID,true,false,false,78.99,E5-ht-det,false
22,c5f5df253012b0e59ec819610d8ff311dbc0b34dffcfa661366e8f197ccf251b,VALID,true,false,false,43.59,E5-ht-det,false
23,0af487385382754a455eb4278db1e90def50b1a187d1cf51ade3ec7cbfe19325,VALID,true,false,false,68.29,E5-ht-det,false
24,4f6597a723b6330abd67f73123bb3c6cce83ea209bc2f9d4cedcb06143ab2a54,VALID,true,false,false,78.99,E5-ht-det,false
25,e92947295f8792ad019b81f9e7051b795f87be2f5de6dd713f6cc6a3413207eb,VALID,true,false,false,33.57,E5-ht-det,false
26,7d1a9da049bb0587c088cbd1fdf7ee8a17af30be50ab10a4ea56faf087ef9bf1,VALID,true,false,false,55.75,E5-ht-det,false
27,8507826c9e29709f27c98e7977518e9e163323cacd9f53df37f62f4f116c9a82,VALID,true,false,false,55.75,E5-ht-det,false
28,48b711a92e21b4da33fc5739153dcc3c4b2ab0a9e2da3629300cf7243eff4ef6,VALID,true,false,false,56.52,E5-ht-det,false
29,32f0143d4a56309e185e49b39fd5fb4ac86e4f15a28bb2df9fa08e65e98ad02d,VALID,true,false,false,68.81,E5-ht-det,false
30,63201e9a43cc64295887f7a272f6a370a14254035d3439a5aa8806e217028000,VALID,true,false,false,55.75,E5-ht-det,false
31,afa89a321e9dacb807ebadbe0f3f2ffd866507892565c2b8a291bc7836919fec,VALID,true,false,false,55.75,E5-ht-det,false
32,bad6ce64ca1bae82b1d4ea4147dbf828ad618f9434032ae35b0bb208d1acd51b,VALID,true,false,false,78.99,E5-ht-det,false
33,8ecc187dc7f7d76bc223bb8f55c33f1f50853ba30a0c1e6dcaf1857ac7367d74,VALID,true,false,false,55.75,E5-ht-det,false
34,6b8ec8b5a61dd185568f334abba6c4f57ceed7eae780cf3b0c7353781882e64e,VALID,true,false,false,43.25,E5-ht-det,false
35,f1ca8daa80b092a9726fdb91a0ab9c2c708d5f476d1091da807f30f0e1d9f4fc,VALID,true,false,false,67.79,E5-ht-det,false
36,72fa6726576e7153d5e80881473e0f5a9b4d91873b45e0ff319dabdc0495c2c7,VALID,true,false,false,68.81,E5-ht-det,false
37,9b99c6010d56704cb66911e664a2bbe9fcf5b10252eba106e9e2d1c30bce81d0,VALID,true,false,false,79.49,E5-ht-det,false
38,57283d92ed63fa16465aa3b9500d270af116e9dc56b7ed227a24757823c76020,VALID,true,false,false,43.75,E5-ht-det,false
39,417dd97480d09fe6fe40a0540db4dae4cea1ac0273baa1c4a6bcae96871a1cc9,VALID,true,false,false,33.57,E5-ht-det,false
40,e37eca2b5fbc29706374c79ed6cc848b3b8bc209aca61e3ce8d5fb28eca8d4d3,VALID,true,false,false,33.57,E5-ht-det,false
41,b83977a8c8ee70cb5f2de3cb72b00dee236433f55ea518c9de20a461fd17a80b,VALID,true,false,false,44.09,E5-ht-det,false
42,c3fc040345f60dbb97d99126d1cbc6c4835b1f45f73acd2635b43d8e0bc0dc3e,VALID,true,false,false,67.79,E5-ht-det,false
43,fb7120cbf843f3340fc030a66bac2c01e3d77ccb0789d875719051eb1a8f2e18,VALID,true,false,false,80.56,E5-ht-det,false
44,efc4405e345c59b3a78afe8f12ce617075772992d585ed68b595e718e0330e7c,VALID,true,false,false,68.80,E5-ht-det,false
45,9868234b18c91faaf2eb8cc68ca2bffd1f86edd966fb355006f79909ef511915,VALID,true,false,false,33.57,E5-ht-det,false
46,0550f706fb343887407ca5a0b20e05e0f3f6b22d9d527e7da99946ea67b53d8a,VALID,true,false,false,68.80,E5-ht-det,false
47,067febf6fdaa4119ca8bb684e2ae69a672e4ff5fd6684a33bc302ed2cd41bcb9,VALID,true,false,false,78.99,E5-ht-det,false
48,7e96c596d94b15a6270bd1d1fa57c331bde9eff927aaaefe96e9eef547e14d45,VALID,true,false,false,68.81,E5-ht-det,false
49,fd8cd21baa415af260b47cbfceb9a058af0f43e5be21f85fc54950c543cb20f9,VALID,true,false,false,33.57,E5-ht-det,false
50,8a24631938bd07eb86f0d276dd47187fb9e06197c76c51fc6e40d5aa582a025f,VALID,true,false,false,65.29,E5-ht-det,false
51,974b4347a4a38e08da40f2bdcb904057110501c62fc21a8f1f400f4b51a330c1,VALID,true,false,false,65.29,E5-ht-det,false
52,54e78499afe34d478790d56bd689cd73c9a12ddd6a47d2169c47a4faaae7585d,VALID,true,false,false,65.29,E5-ht-det,false
53,8780dc0ff5c255b4c415c844f066dea6ddd74573379e11a84ce1fd672c7d88d0,VALID,true,false,false,65.29,E5-ht-det,false
54,562ea78ae288412091360074f811c76337f798b58334db137547f5269077b167,VALID,true,false,false,65.29,E5-ht-det,false
55,cf50bad1d5fb249dcddb10ca3c02145f088060c2838df2c65f526afe2946ee32,VALID,true,false,false,65.29,E5-ht-det,false
56,8e7a7e91aa23af94f91ed4a4d55f20cd17663b8ca63753db208d88ebe5609fee,VALID,true,false,false,65.29,E5-ht-det,false
57,10b5a0fe1932cc4ff763274f3ec269da0a6aa81a14d0299fcad6cb0cba627823,VALID,true,false,false,65.29,E5-ht-det,false
58,679e8e1168ceb5a446d72c195c88d2548a1ffa9a477d66215836ea3ada7a5639,VALID,true,false,false,65.29,E5-ht-det,false
59,cf373f9d81ee680d5821f403d7196c4a6a7a5d1426dd9260307dfdf61a4733b3,VALID,true,false,false,65.29,E5-ht-det,false
60,2b2bcb72b8db5e6755f184fd3fc83ea972ad781ca287da8a6887e10382157d52,VALID,true,false,false,68.34,E5-ht-det,false
61,7c45708319c13ee8fb14bd44285cafd46c10eac55dbdaf78270ffa45f7cea8bb,VALID,true,false,false,58.82,E5-ht-det,false
62,7fb8183463cb7ad083eb98f7ac7db6db09b33bcc1357d065d36a4f13eaff7a7e,VALID,true,false,false,57.34,E5-ht-det,false
63,ffaf732bdbe49ce4008129b55b2447fdb948e4581d0fc429c4bc7a981f974828,VALID,true,false,false,58.82,E5-ht-det,false
64,184f1d6ed257b5811eb97f04b5bb6ac57d66b2da5d4fb396ee65970179b968a7,VALID,true,false,false,58.22,E5-ht-det,false
65,65c4903a790cd49e1afe234afc804ab9c4bc8299807d35c73b72d3d78c19c674,VALID,true,false,false,57.34,E5-ht-det,false
66,f1cb7ad21533df1e93d469e8accdae1ad0382f0c1c9424e7e0ceb152a35ce864,VALID,true,false,false,57.50,E5-ht-det,false
67,2b259d31a6fb99ef4bd0b5f372eaf084d02faaa7970dcc64dbea6f7d422060a7,VALID,true,false,false,58.48,E5-ht-det,false
68,f8daf798bed11fba44a2e2139f7b9399bc60f215bb1976d6456b21494b8990f1,VALID,true,false,false,68.00,E5-ht-det,false
69,bd3ee45101e49d66b4fda9ec72bc68f3894d52b7bb542c858758fb3034a8db9e,VALID,true,false,false,58.48,E5-ht-det,false
70,c02734289bb3cc397d42862ac0aa303eaa11ad51a8edc55a8f8ad229ee7602e3,VALID,true,false,false,55.83,E5-ht-det,false
71,d8433bd67e39492999f433c1c75a15f41fc4ab96a4f9bd0bd6154052d75f821e,VALID,true,false,false,55.83,E5-ht-det,false
72,3b9b5f479cf2720c4c16eda92a77ebc72ef1bad3ec5cedeb0417b79bbfd6231d,VALID,true,false,false,55.83,E5-ht-det,false
73,018193f8229376625f58efa9ee3b80d7075e817e34d427569fa6601fc1cb4b17,VALID,true,false,false,56.34,E5-ht-det,false
74,82a9e840ff7d8e5ae1ba9483a880cd65d02152bd7ef133a361eabafa945321da,VALID,true,false,false,55.83,E5-ht-det,false
75,a2cfc0f75d105441af239581fc2a8149525ab8329e2b45ea34d77e834249e097,VALID,true,false,false,56.34,E5-ht-det,false
76,535e9ab1ea44c216536ebcefd33b9eff26cd4731ba9e7292cf559cc17db25cee,VALID,true,false,false,45.71,E5-ht-det,false
77,7d548290f9dfd1a68a3bba7e118f4348ac3884dd0b1b6dbe2ef7e611d816e928,VALID,true,false,false,44.83,E5-ht-det,false
78,feffae6477738927c929cfd523f1aa69e2f01a46f082d9801a4c900c483c7874,VALID,true,false,false,55.83,E5-ht-det,false
79,46a1d1b501593d3189764a2d9f4afa31ebcab792e8352405e2414a9a80c57233,VALID,true,false,false,55.06,E5-ht-det,false
80,29f63aa2730927ebb09b0c1e936339b7925a5ba49a615d5653a766c1516cc995,VALID,true,false,false,57.12,E5-ht-det,false
