idx,txid,code,ok,submitErr,reveal,latMs,key,credit
0,4b4683572e9ee6f372eb334662b08dd5d1b24ba41ce86d3a6001e6e9180de676,VALID,true,false,false,40.52,E5-nocheck-det,false
1,46b52669a819c35a62b36dc366d156d679c3e887ecdeb019617dc846ac2eedc4,VALID,true,false,false,31.16,E5-nocheck-det,false
2,076c6703ce14b913395b5c3df3be9e402cd45de1df87fcce3366d208c8df4371,VALID,true,false,false,40.52,E5-nocheck-det,false
3,1f7ed2a191dbd6e45050741f282b802cdac82860e2be663da46a5e49eff12707,VALID,true,false,false,40.52,E5-nocheck-det,false
4,c21639f012feb94f1fae26a69d5e4eae2da329d1344487a135fc07c755c3f98e,VALID,true,false,false,31.16,E5-nocheck-det,false
5,c632d584929d17c1ef62ec19f85e4d4ea1a42ca5a049fba9161e7a30f319555f,VALID,true,false,false,31.16,E5-nocheck-det,false
6,26ad950158d0bbdc6ca2d756f02364bcb34e60b11b201c1f9eb45a6a332aecb5,VALID,true,false,false,31.16,E5-nocheck-det,false
7,4d7344a909edbd5146be10c685e110730fa2572994e9f179c9797872bc509d5d,VALID,true,false,false,31.16,E5-nocheck-det,false
8,45bb1e33a1575f68f7d11b89b67930fee89845026dd3b1f2753e696c9a68b459,VALID,true,false,false,40.01,E5-nocheck-det,false
9,8a85fd203139dfb1c794a93c0cf2635c005e33315632d8589057ddbe3b55314b,VALID,true,false,false,55.78,E5-nocheck-det,false
10,7bb89d57091ef7cf097cec0ee54f6bd44deee0e86bcd6cfdf0993f87e20c112b,VALID,true,false,false,63.87,E5-nocheck-det,false
11,12e905c694bc7e8ab8e8f0e573e13f8f35d8587d23cc16472999b788d03b7e37,VALID,true,false,false,40.01,E5-nocheck-det,false
12,f562410a371b8ea7b6db441522a3d8313da702ab5d89da81d28b424f8f0eab31,VALID,true,false,false,31.67,E5-nocheck-det,false
13,d676f3293d2cbf9c19644d10d381d80217cbf5c98e26c9598dfeab0aeb970410,VALID,true,false,false,31.16,E5-nocheck-det,false
14,a9ffbc6b18b219322cf8f43161bb7a8f7ee2502eb7d505aff7411badc390676c,VALID,true,false,false,31.16,E5-nocheck-det,false
15,54be1bcca7a63a0f9f623fbf54eef48b124828ea4200b9d375e1a24653e8e795,VALID,true,false,false,55.78,E5-nocheck-det,false
16,cd0db854f45b692ce60cefd0d252914f5e2e36e6b3cd483242359b5934386db0,VALID,true,false,false,63.87,E5-nocheck-det,false
17,287d72f95b62ecf30c49b4006a16170b54127f231bb1b073954ac0132d877083,VALID,true,false,false,84.86,E5-nocheck-det,false
18,76641864b0b2634156a1e1601529b3277e3db65b85c47ee4bc449ec2f6ff6e7c,VALID,true,false,false,55.78,E5-nocheck-det,false
19,49e2bbb0891914ce65e62f1cbe6b0319218ed3e9488b9b50ca5bc92f57c7aa99,VALID,true,false,false,84.86,E5-nocheck-det,false
20,0d95b1f6f0035e783d00ae8a655076d827b2790bfd90529eaa6b5efe7f389b4f,VALID,true,false,false,84.86,E5-nocheck-det,false
21,9cf4d4917cf9f6d1d977be6ef7cdf34ed49b29593a1c67550700b8daf1caefd0,VALID,true,false,false,63.87,E5-nocheck-det,false
