idx,txid,code,ok,submitErr,reveal,latMs,key,credit
0,1921c7ab74ce819d064945fd38dbefe5fbd8305424427df85f5bca18b45b20da,VALID,true,false,false,28.67,E5-ours-det,false
1,45bd0eeb924b361cff06bbfd3a2e87e84d4e26eea11aadec13b90e1a67b3ccfd,VALID,true,false,false,28.67,E5-ours-det,false
2,c17da20efaa76d2d3b4e32c8fadf5e44a2bf296a17a85ebaaf13f9090b7188f8,VALID,true,false,false,28.67,E5-ours-det,false
3,9f51f7ef144365e3ab1e8095d8fe2372690b628102cb81791751f375afa54950,VALID,true,false,false,28.67,E5-ours-det,false
4,74b43c98fab27b15c9cb3c4ac828aab36107d43eda10282a4d42c9e6df03b729,VALID,true,false,false,28.67,E5-ours-det,false
5,3369073ad30c7b32d6664b28d524b11da062305d4680593cabc3147f6932c35a,VALID,true,false,false,28.67,E5-ours-det,false
6,588a5cb832a9a8736aa224d6996c25d4a598509f7f34c63da6e6643ee1c3fdd1,VALID,true,false,false,28.67,E5-ours-det,false
7,3d9f926babe766feab1cf801ec3a20897fd3d8e631f275d08cd2d527f9f0faab,VALID,true,false,false,28.67,E5-ours-det,false
8,7f5046174b2f49c094e371ee4a974766cb649c259305d8c24daaaf288994ef37,VALID,true,false,false,64.42,E5-ours-det,false
9,cf8a90dcaf4529d7c837a62fe3640d7c63361948bb24ef6596fafb39f74f5182,VALID,true,false,false,75.22,E5-ours-det,false
10,0c1f19939cc64d77260247d412faaa6be03a0b4920f9d7dc26070c71cc54ddc4,VALID,true,false,false,52.34,E5-ours-det,false
11,92530607fc8e8e4bf4f0ef742128819e6e8c8cf33e231a952e1b1784711db311,VALID,true,false,false,59.73,E5-ours-det,false
12,afeca07c60977a21b6a2e8475948c9e7480a2199677f17e291e11d1ebf83fc06,VALID,true,false,false,63.91,E5-ours-det,false
13,d645c5ce9b3a0f0793e5d19f66e0c28dfd8ac488a1469b7fba9f7dbee69cd20e,VALID,true,false,false,52.85,E5-ours-det,false
14,f3147697fc79300a2629071147a99a4c4a78f2b633ccd4de8c93d76e87df50f7,VALID,true,false,false,74.70,E5-ours-det,false
15,f3f36c383a79163013680081830cc1cc55eca03a3cf4d0baa6f08f8eaeff1d75,VALID,true,false,false,54.30,E5-ours-det,false
16,e7e7da96b6e9855543d5865a46862e0a940e66ca330b959df8ef45d90750aba5,VALID,true,false,false,51.10,E5-ours-det,false
17,542370bd98cd73b75798fe0b712ff0d54a96e7cd1ab273c30beecae1e244dd42,VALID,true,false,false,54.17,E5-ours-det,false
18,d8d106b32bb934342d1c80bbc20401b3129504264c4057074b5c6c64f59a64c3,VALID,true,false,false,52.12,E5-ours-det,false
