idx,txid,code,ok,submitErr,reveal,latMs,key,credit
0,98584c7b95d9d9c1240375bf87eb1ff3d43fa203d0ddcd17465bbe19e730f313,VALID,true,false,false,32.04,E6-ht-seed628,true
1,bb0f8b0a56e7c126fdc88ae217e7358e855f2351ab56e00d639b38abe26da994,VALID,true,false,false,32.04,E6-ht-seed628,false
2,8b74d63d0686eba41ca543c256569099f2f9820e96657cac095ad7ab57935f4e,VALID,true,false,false,51.68,E6-ht-seed628,false
3,b490ad5bbbd3aeaed4da858c5191a13fd379171924d21942c7521c6adc175c19,VALID,true,false,false,59.67,E6-ht-seed628,false
4,29c7d308dae725694016010c7ec3c11771387ba0796421ecc1e70dcc87874dba,VALID,true,false,false,76.09,E6-ht-seed628,false
5,774e757a6457d097b3153061b3546899291387d91b91edc55d586738d7225fe6,VALID,true,false,false,76.09,E6-ht-seed628,true
6,9963460e3fbb995c6ebf97622285f89f0acce15197a164d31243cf1e9e3ac8e3,VALID,true,false,false,59.67,E6-ht-seed628,false
7,68074ecc47993883d6cf96c24f2885efb4d033a1bf11477e84006d70e88be43e,VALID,true,false,false,59.67,E6-ht-seed628,false
8,5bc299c297cde4a3f5c30e9b3af8926a7e8132fd23c80906e07e81e4243eeb2b,VALID,true,false,false,76.09,E6-ht-seed628,true
9,2032451568536340d9f847a14b8c6dbbe9146e315751320dd17fcf9ad3488c5d,VALID,true,false,false,50.47,E6-ht-seed628,false
10,e85e05033df72c45e719b5de3ec3d3e53a5dfab5108101b96c63659fb581c211,VALID,true,false,false,59.02,E6-ht-seed628,false
11,9bbd032cd18a900e68cdb7c38088153bcd4b571db9d4595a25420b8f09eb2649,VALID,true,false,false,59.02,E6-ht-seed628,false
12,1d0aaf2dfdf1a4ce983c1d083de10dbb24a1ea2941cf9938b50480d9a4d00fb7,VALID,true,false,false,37.33,E6-ht-seed628,false
13,a13ebb7b6b026c26679fc26cbdbaa5360821f0e216af14886fd212d2841f8cee,VALID,true,false,false,31.52,E6-ht-seed628,true
14,50b5c901c67b9d7216daff0e1646df83046e5d258495b7374b24a8da185cc92e,VALID,true,false,false,59.67,E6-ht-seed628,false
15,6faec5d3fe7688e8f279af696ba2691c6cfbbae75c6623b0ca3afb12b0789479,VALID,true,false,false,76.09,E6-ht-seed628,false
16,f92f1da1e741ff0862482fa77bc5692482d8c489603ddc8ab2c818e5df89a0eb,VALID,true,false,false,51.11,E6-ht-seed628,true
17,5ce880795e085dc74cabafeca22b906baaf86e05d4b4801f2d281610749fe2e4,VALID,true,false,false,51.11,E6-ht-seed628,true
18,7f7b7ae8027fe39bb93f599d4f30d6853d6a12c1273ed267de3040df9bd7ae7d,VALID,true,false,false,59.67,E6-ht-seed628,true
19,edb2d0a288b784892dc2241f5cffe1e128a7bc062d3e71de24f93536c1838fb9,VALID,true,false,false,39.73,E6-ht-seed628,false
20,1d5c6898886afbafc062da5396b9c32fd94f9214825df3dd1bd8edce43287352,VALID,true,false,false,30.88,E6-ht-seed628,true
21,8bc0a019b5423a70101eb094b4d1359a043d37f38bd73ac76ca4680010054d12,VALID,true,false,false,30.88,E6-ht-seed628,false
22,9b5d276cdd60d3357649e8f97d22d7a9aefc4551dfdd00cca0158105cef800ee,VALID,true,false,false,60.24,E6-ht-seed628,false
23,86c554b90f6d13eaa177f048287152cd86fb84ee054102d4fed0815e5042660c,VALID,true,false,false,51.68,E6-ht-seed628,false
24,926296da82914a0a1adaac7b92b4f237b40048cb06bdd7d639b5727801344647,VALID,true,false,false,30.88,E6-ht-seed628,false
