idx,txid,code,ok,submitErr,reveal,latMs,key,credit
0,6d777ad0c3809792efd5cbb6f7a98f5e2fb8e59acb999aeef8e04c531a6f7f33,VALID,true,false,false,27.73,E6-nocheck-seed42,false
1,ae9b69ff6274af2cf5f906d2bebe353ed9c9197fbe4e1ea16f583e91c8e7b14a,VALID,true,false,false,27.73,E6-nocheck-seed42,false
2,980aac039d8aabab737ddf2caebe15cb6aa21ba517e24e346b34a3f9677f46d3,VALID,true,false,false,27.73,E6-nocheck-seed42,false
3,300d0d6637032519da455a83fb50e67132b07c05e952334c03c2d142e86a0982,VALID,true,false,false,28.12,E6-nocheck-seed42,false
4,4d777b87984f33e0ad9e82fb790b15235898b36735a529c47bf4208ae4d48c33,VALID,true,false,false,35.00,E6-nocheck-seed42,false
5,7e348ad8ab2a851bb5dcb664772739af22e210b36b9dd1ea409e7b6045737fdf,VALID,true,false,false,35.00,E6-nocheck-seed42,false
6,17eb8f05894cd95e0d605c57dc17f59a811503884587b89408cd460c1d44ba78,VALID,true,false,false,45.75,E6-nocheck-seed42,true
7,4bc9efa7114cb2d20cf5b18ffe9d8f661004ff1ea92398a5561b36f6f99c15d8,VALID,true,false,false,54.98,E6-nocheck-seed42,false
8,49826c9e5b9ceef6d64ee6a4049e1a9ab7c9825c27166721ee7b4bc45f999327,VALID,true,false,false,45.75,E6-nocheck-seed42,true
9,ff16c0db67477243af2cde57e78fd30f9e434535f04ca17b5652e86cdc7941a7,VALID,true,false,false,54.98,E6-nocheck-seed42,true
10,5a9f6331c967f6abcda0ef41f5be1a03333d899c7f9bba926c771edb84ab304b,VALID,true,false,false,45.24,E6-nocheck-seed42,false
11,9ab4ef1f9584a0d14fa37045bd9a42ab28066b840d194d092a54307c9dbde2d1,VALID,true,false,false,54.98,E6-nocheck-seed42,false
12,24213eb83efac57b70332ee7a50b2359f7841e3faeccd64214e2c93956ae084e,VALID,true,false,false,54.98,E6-nocheck-seed42,false
13,b4e0eedda5a9791b81803ab6412e8321827ba5ed6e3a63484d1e502234354fe3,VALID,true,false,false,54.98,E6-nocheck-seed42,true
14,90494ceb7e528d100fc0b8a9f8b6113bde86e689aedbf82288b6e1060f545e65,VALID,true,false,false,54.98,E6-nocheck-seed42,false
15,d73c0ba0c09c3b9887b14d6a33e09ce56ecf591deee552b6236d554a24124f85,VALID,true,false,false,54.98,E6-nocheck-seed42,true
16,b69ebccf17d0faa3d996b4974d70db37b549c9b1609c992b64b7a7f5356d393f,VALID,true,false,false,34.49,E6-nocheck-seed42,true
17,53abdd8528012592cf4d8b3d714953f0a9989f6f5b19a4c752d5c03639055f5d,VALID,true,false,false,45.24,E6-nocheck-seed42,false
18,3eb8dc4dc122221c7636f46019d1a17da4adb8b2e7b79cd055a24178335d56d9,VALID,true,false,false,65.79,E6-nocheck-seed42,false
19,52c059528b2b828158b2fef9b05b41ddbd6065b88e44fc224af394c1a1270ba8,VALID,true,false,false,54.98,E6-nocheck-seed42,true
20,a1fb324905e276b7f18390e46ab41b10ea8c41f8c4b66b23b02dc1131a7f60fe,VALID,true,false,false,65.37,E6-nocheck-seed42,false
21,8c6b38dc2e0ec280ea6a58215cae9ea98bab148c920b60aeeaf5803cab74d3aa,VALID,true,false,false,66.36,E6-nocheck-seed42,false
22,90b61ca313f748b58a1bd5d490d98256dd1d8dde3e4bebc63d327fcd612c7184,VALID,true,false,false,34.49,E6-nocheck-seed42,true
23,90a4d548554d4ec0e7a4d0798a6765f387d3dffc00e384ccb5d06b7622369705,VALID,true,false,false,66.95,E6-nocheck-seed42,false
24,9dd0d2d7e0a077daa840aeb9c5cedf431ebcb634795d5a32be00400614e79266,VALID,true,false,false,45.24,E6-nocheck-seed42,true
25,0a20af4d0078632926d924b2fc138f924aa4d9bd9a2b7d03dc08b449eadd553f,VALID,true,false,false,27.73,E6-nocheck-seed42,false
26,98b9b126dbbc080046ff0b37baf2d6ae104692796315824b183df1d090176696,VALID,true,false,false,35.00,E6-nocheck-seed42,false
27,57ed73387a0733b4a55445453f7576b9bc135c22261394873312b5d31b456f02,VALID,true,false,false,27.73,E6-nocheck-seed42,false
28,801ca8e092627c0d18a86dfcb71fde642472d96863faa643bfa2fb4bb244ea6c,VALID,true,false,false,46.29,E6-nocheck-seed42,true
29,b8ff952ea3b0d20bd8462442a16e236f5420593424369096433626a17a04baf5,VALID,true,false,false,24.81,E6-nocheck-seed42,false
30,1b7e79184198b26f7084a789f6be2651ed82dd54bb2289739f7981ec0efec4f1,VALID,true,false,false,65.79,E6-nocheck-seed42,false
31,1ad7bf2b73e2b722a9b597410cd41ed0f677d0adfa5b9dc6a1481272060d1993,VALID,true,false,false,34.49,E6-nocheck-seed42,false
32,b8d23e7699647f57ef7ccd65f98052252f8dbaab7e731d6d56696b2515d7ed41,VALID,true,false,false,65.88,E6-nocheck-seed42,false
33,d70c7c9c68dbf2a20604f21e9b4bfcab01b47be625c12ae17e5df40692c689ff,VALID,true,false,false,35.00,E6-nocheck-seed42,true
34,056d0b8a2b9f793bcb1d7a2c92fc6e0de7f8f8e03d2d2be0ba10e4f03b0335c4,VALID,true,false,false,27.73,E6-nocheck-seed42,false
35,21d02342050fd9fa633c538286ea04ce54dc00eb25d57efadc7da3808d41d7cd,VALID,true,false,false,45.75,E6-nocheck-seed42,false
36,294f9527f58c0aa291d5859b077bf3d9f3376f4f239ad1697eee39811ed949a7,VALID,true,false,false,55.49,E6-nocheck-seed42,false
37,8ffd4641d61af02cbc324aa2cd83b3016cb5fa9d37cc0c1fb1b6d1ae2078faca,VALID,true,false,false,27.73,E6-nocheck-seed42,true
38,143ebadeb5076e9f8bb4ad5e5725360152781391c303e8efe16e8488090369c2,VALID,true,false,false,45.75,E6-nocheck-seed42,false
39,4522f11d767992334d5a58823e38c2ec96640a912eca1b3ffd515cfad60efd58,VALID,true,false,false,45.75,E6-nocheck-seed42,false
40,35e89766c35bb7115c503cd4082076ab9df39b72b10e07cef3b5f1f948bb1cc7,VALID,true,false,false,35.00,E6-nocheck-seed42,true
41,9dd5fc69528b7781f1acf3be2493488bd99cd1ae605d5cbc32b5717e448edd11,VALID,true,false,false,66.87,E6-nocheck-seed42,false
42,165a72081164ac55e848a8dade57229dac32eee6c10df7a8b0522eee73253603,VALID,true,false,false,34.49,E6-nocheck-seed42,false
43,754008abdab011391cf078b17cc5291802c99a7331aad00cf8b32f80ac02f3eb,VALID,true,false,false,66.95,E6-nocheck-seed42,false
44,ae8bc8f36eb8024d7ba91ab065bad1ea380c2d6d51a042d447751a33afa6af9d,VALID,true,false,false,54.98,E6-nocheck-seed42,false
45,02f5dd444abccd8e5a159a9b14582bf2400debdf7f92d94305e82eb9d54ac7df,VALID,true,false,false,34.49,E6-nocheck-seed42,false
46,514c177b13ed61dae0591f59c6580f751fddabffc85921f1dba40dfd239d1bbf,VALID,true,false,false,45.24,E6-nocheck-seed42,true
47,d683d16ccfc1b00002c22b4ecd2ec37aeeffa0470097a9929cdfb5dbe6b17ded,VALID,true,false,false,66.36,E6-nocheck-seed42,false
48,0821d4ada9ca5ba53d4f8b39315f56b3ace6e9434238e0b6fd5999a24c5454a3,VALID,true,false,false,66.36,E6-nocheck-seed42,false
49,4bd8971e26a36a54227bc41528232ba806560f7aaf682b21e9790ede2021c110,VALID,true,false,false,24.81,E6-nocheck-seed42,true
50,09e8602b7d4f874f91788db6d46503c2456f5317f677b6299246284bb94a5271,VALID,true,false,false,55.50,E6-nocheck-seed42,true
51,35ad8c65dad52117e03a7cf800cf40a16a862b7a6a90c1ac8bb5de334f7865bd,VALID,true,false,false,60.11,E6-nocheck-seed42,false
52,7af25e57f7b19ad4c427081119d9df687aca099982cf36a27002efb1e68332ea,VALID,true,false,false,55.50,E6-nocheck-seed42,true
53,2d01f01b143dcd1b0152c2c351506a7f53d5cebbb96b28a2bc474057cb917137,VALID,true,false,false,55.50,E6-nocheck-seed42,true
54,0e59d22de0c506ac446b51d12c81f5f294b1f5a55b4291702d4c3425f89fa9b4,VALID,true,false,false,59.55,E6-nocheck-seed42,true
55,8b50f2659608747497353235727e35cc81b31125ebd1688e85caac6fcab941e4,VALID,true,false,false,55.50,E6-nocheck-seed42,false
56,22f1c22346af6405848f81afd9f96a336a4a0fcc1e6da84a081a3ead1d4f7bfb,VALID,true,false,false,55.50,E6-nocheck-seed42,true
57,d1c433b352f5a5a4eabdac20c9369d2289c7bcd2c015f1550e7ff0d20c054c7b,VALID,true,false,false,55.50,E6-nocheck-seed42,false
58,3042e9078c95df5e42e483912ec23ad3dde3ea6789cf1a9e01178589ca1ac917,VALID,true,false,false,55.50,E6-nocheck-seed42,false
59,02c330a255d460e0813d5753c046b01cd1e14eb3e80c5d547462b1137ce6a1e9,VALID,true,false,false,59.16,E6-nocheck-seed42,false
60,82c6470b6f76e451edacb76dc0b9f73d1ca2230c8295f29a423b439e44cbabe6,VALID,true,false,false,52.85,E6-nocheck-seed42,true
61,d92840e0c9bc11d7e67d04eaed3e4502d3b2c5bca8c45da9dc0a30f8c43e64b0,VALID,true,false,false,48.24,E6-nocheck-seed42,false
62,d2a4d87ab5560787c73f4429c13022ad3d66e98c148911a8eb16a94eaec0cc92,VALID,true,false,false,52.28,E6-nocheck-seed42,false
63,2ebf29a992d7395909de4aff1c532415fe7e1a8373af5cdc6dc7a38aa8722a4e,VALID,true,false,false,48.24,E6-nocheck-seed42,false
64,ab65e224abf9f06e08cafcb915f1f58b53ddce065634f27a33b361e6020021a7,VALID,true,false,false,48.24,E6-nocheck-seed42,false
65,6d485607afa131e210ceaa5e86f389956d3f11cd5c52e864716998a84ab5558f,VALID,true,false,false,52.28,E6-nocheck-seed42,true
66,5e6ddcd9cca8c339415e27b72802b8f62a311a2b145a039a27418368b6cde757,VALID,true,false,false,52.28,E6-nocheck-seed42,false
67,5946de726bdc4ee5fd7259c03b92b4cc510bcd8d885749cfcf2a7c127e428a18,VALID,true,false,false,52.28,E6-nocheck-seed42,false
68,85ab2fa9d37c4ce58b0c6c5024e412efd90085c2a77940df6aefcab3b9fe0a71,VALID,true,false,false,52.28,E6-nocheck-seed42,false
69,83d00599219143ccf9130c2e05c61dfd79c189cb1da656e8014af04be0ce0721,VALID,true,false,false,52.28,E6-nocheck-seed42,false
70,923357ec2982d6a2f2b46c5cbcebbb47aeb951def8a625feccc7f1b5a6cd0137,VALID,true,false,false,63.22,E6-nocheck-seed42,false
71,a9b0423d5d2d11f43b071fbdb837182ad78fede092efbf031749afd467368f88,VALID,true,false,false,50.65,E6-nocheck-seed42,false
72,17b03260ed3ca6f3a72925d6be73787da69d03c87771866d40aea4b19f877a09,VALID,true,false,false,50.65,E6-nocheck-seed42,false
73,217ef4cb3ff9ddcebb253af47d5ac82b120684f57a8f81af88961cf067eca922,VALID,true,false,false,50.65,E6-nocheck-seed42,false
74,4e1ec11d8903ba8d6cf6fb46b1c0784171c8a9ab7cd7c1a51d4af783197fb798,VALID,true,false,false,50.65,E6-nocheck-seed42,false
75,e56bd05da18ebd958f1375881646915045c05f791f6757c0b841c2d3cdc8fb5b,VALID,true,false,false,50.65,E6-nocheck-seed42,false
76,4d24ff9533bd30bac50013e7ca4f131e932829ef3593b050da492d3845ff9786,VALID,true,false,false,63.22,E6-nocheck-seed42,false
77,4c743d1acdcb6c5a7451ec21cd1f79e2b2edaf7ec550a37a776523a91f0d5b8f,VALID,true,false,false,50.14,E6-nocheck-seed42,true
78,758474af342996b8bcdf460a88b1b2b45e31954b003fec8f705d48b86ad16d77,VALID,true,false,false,50.14,E6-nocheck-seed42,false
79,f7f8f524e217019682770a585e6e35663e87886afa8014533c43b6b6d23aca86,VALID,true,false,false,49.60,E6-nocheck-seed42,false
80,29661527288fc1c16144aa09741acac496b6f07e20557c453cd82727b43e6abd,VALID,true,false,false,53.48,E6-nocheck-seed42,false
81,7808cfe6c81a36a286065c23ee6467ea49ca7bb7dd1c7350076c4bd71af75c6c,VALID,true,false,false,40.91,E6-nocheck-seed42,false
82,b7bfafe11cc408ba26ebf9df9067548053f6f1cd52b3e2a4097032e4b929bc9b,VALID,true,false,false,53.48,E6-nocheck-seed42,true
83,83b39ca784031d35814e3564dd4d72abb4b256247cc25e3d6f9b98cbd4acf64a,VALID,true,false,false,53.48,E6-nocheck-seed42,false
84,7aa6a244aa6ad0d0ec1c1947e3f10914c3df9c1d858b489261abae85478606ea,VALID,true,false,false,53.48,E6-nocheck-seed42,true
85,15d65b794fe7affea95af7cc445a299ff7dbf36c776289a1ee23736562aefe65,VALID,true,false,false,53.48,E6-nocheck-seed42,false
86,e2e21ff8751639ca2a3bb33048cb313b549c529dde16a6eb411c0f1b2a0b7e8d,VALID,true,false,false,53.48,E6-nocheck-seed42,false
87,963b24c5d74c6dbaeadcdce5ba223d6d7fbe79d313e5ba7026d8f35416ada8ad,VALID,true,false,false,40.91,E6-nocheck-seed42,false
88,a64a181681ac2f660699befe6c66463154be7e4d97f645b54450c06df32000e9,VALID,true,false,false,53.48,E6-nocheck-seed42,false
89,46a0cb863f8215ab81f4b0d7755a789f238716818ff369c39c36278832ce2fe6,VALID,true,false,false,52.97,E6-nocheck-seed42,false
90,8dd80c5fc20ebfe78f98b1eeac48eefeabca425c7b5afc8408f927839538a7d3,VALID,true,false,false,54.13,E6-nocheck-seed42,false
91,b92e943565e2bfeb51a3bb80b4759d49c5cfe724804f7f6703ad55b98416504f,VALID,true,false,false,54.13,E6-nocheck-seed42,true
92,599a5101e01a4bcbdeb831f95fb484552d8430ada1be2c60d416fdfa06a2e3cf,VALID,true,false,false,53.71,E6-nocheck-seed42,false
93,b6503a576315726a8c6c63b1998d9279887310d584315d45e132dbac3024901b,VALID,true,false,false,53.14,E6-nocheck-seed42,false
94,8783b4c744e0788d78500dafa20fda2f8d3c257ccea064c7683b2c1eb6f318d0,VALID,true,false,false,53.14,E6-nocheck-seed42,true
95,b92f64d8caad933dd968488f0556474c99fa6108c4bd78744ed90e37d2c8e191,VALID,true,false,false,53.14,E6-nocheck-seed42,false
96,a70dca71aab577a8525c07596ad30621711013580c93386752c64b44eefb1d4c,VALID,true,false,false,53.14,E6-nocheck-seed42,false
97,0fc9c7038789079d8024999dd61853dcb86eca0258419e8896a1859bbbd4827b,VALID,true,false,false,53.14,E6-nocheck-seed42,true
98,1d93a1cc67b91240021c541934ce17bb32ae893748d69b0d9210d758ed2844eb,VALID,true,false,false,52.55,E6-nocheck-seed42,true
99,8bd83e4929f71951c18306a65f2207e8cedabddb53e3dc061fbb040219e2c2b2,VALID,true,false,false,52.55,E6-nocheck-seed42,true
100,fa24f6e80dcc6cb17c032d4c7382914307894a1eceef0d01b5614da0717d1f70,VALID,true,false,false,45.82,E6-nocheck-seed42,false
101,c9eb5dc26f643dba01a1483f7b7a39a06a09208a6a9c9c4b8dd147a4ea75eac8,VALID,true,false,false,45.82,E6-nocheck-seed42,false
102,fa7e73ee4df104c1a01afb48cc90d0a1de845f606785c8b32bb7f24391bd2838,VALID,true,false,false,45.82,E6-nocheck-seed42,false
103,b1ee2ab6e60567eeb0e2d450fa00987fc5de9b60daa9a71a0d17402ef67ecd4d,VALID,true,false,false,45.82,E6-nocheck-seed42,false
104,b2c33d5c821844ed5e0cac374b647e3f5e824ebb3486d89505627739c6a98def,VALID,true,false,false,45.82,E6-nocheck-seed42,false
105,e908e2119eaf053c64ccd6cfd4abed2f9ad60da0385e76a3eb1ab6fa970779c2,VALID,true,false,false,45.82,E6-nocheck-seed42,false
106,c56ead4a21c51a0bbe075e0f9c6be83d8b9593d3a1591bc58306f50a8257f1e6,VALID,true,false,false,45.82,E6-nocheck-seed42,true
107,f11a1fbf8c1ed48d88e51fcb94a5ef6304a6ae92b70177948b38444174b3f2cb,VALID,true,false,false,45.82,E6-nocheck-seed42,false
108,ac68ca0ce2807831f17bc8103de21f93dab65e11511f87423131882d57ce3fc5,VALID,true,false,false,45.82,E6-nocheck-seed42,false
109,ac5739e9180f429ca9bc0acd993f92818448dac7088339693e757ef55d172794,VALID,true,false,false,45.82,E6-nocheck-seed42,false
110,28aabf3785af8c2fff39f58512cb0a2171e98f99c6f8040bb1be2912ef91615b,VALID,true,false,false,53.69,E6-nocheck-seed42,true
111,d232b4dba2bf9b7e2b9a169b7e3f4cb2571514a3372c2e45791f247f69fcaf8f,VALID,true,false,false,63.90,E6-nocheck-seed42,false
112,2b3cb4031a39d3f67ba6d7085613968fadc37e7e116274168a73b47b60a4c68a,VALID,true,false,false,63.90,E6-nocheck-seed42,false
113,c8c3a17567774f29491fae49d06e51486bef667dc5c79c1935ed64b42329966d,VALID,true,false,false,53.69,E6-nocheck-seed42,false
114,1284a533fe535d750f22437ce71dc08c449fd4f0a70980560814c3ac558ba195,VALID,true,false,false,63.33,E6-nocheck-seed42,false
115,fae0c94579ee3c5e26619e7515ab848f6e4d8df813a4d177a36a4799ad278bbc,VALID,true,false,false,53.12,E6-nocheck-seed42,true
116,e22aaa8d0a7f3e7e0e06634df452634e7c2df10d34b2504b3c0fc2be9e180520,VALID,true,false,false,63.33,E6-nocheck-seed42,false
117,868f51cb76992c4d45d1a07936d8bf4be02c375acbb29c7c6373caef7afd1438,VALID,true,false,false,53.12,E6-nocheck-seed42,false
118,7a6335f15c99d3616dfda395a5f80e6b4516952507dc787af162f5aa814df4dc,VALID,true,false,false,53.63,E6-nocheck-seed42,false
119,6ebe833455b6b1f5d4cbc0df391ca46470737c7578038ebda1854a28f8fe99ee,VALID,true,false,false,63.33,E6-nocheck-seed42,true
120,6ceb32d2619030d3ec5a22dbea83bc71839f028761c834a431b7893e2fe03969,VALID,true,false,false,44.58,E6-nocheck-seed42,true
121,79afb44498997e869db3dd6c73e52bd15eff5c32e9b3e87288af290b33e1d7e5,VALID,true,false,false,54.79,E6-nocheck-seed42,true
122,1b1fb77467ef54a55633c1dd6d8d80eb69c6be7975a596d41bb6c819dae323f4,VALID,true,false,false,54.79,E6-nocheck-seed42,true
123,62281a5fbd6a136b181f195ef38a4358bdc9e7dda5720c99363c719c0efe62fc,VALID,true,false,false,54.79,E6-nocheck-seed42,false
124,f25a533827026ae83ce6f48a9b45f4644ffb756957c47e78d2f102ebcd18e104,VALID,true,false,false,54.79,E6-nocheck-seed42,false
125,6ef22be37df793db3762d9e13fe4f8571fe986ef4b6b1c0682f2fd5e2baa8314,VALID,true,false,false,44.58,E6-nocheck-seed42,true
126,dbb07f772146ebc8b33dd2668e7bfef8e4782436f3501c61c12e50258f58807c,VALID,true,false,false,44.58,E6-nocheck-seed42,false
127,5f53a75f92e199d672ba27435f4aa4369e9d6389ac218e6fe625d6ac73da6e1d,VALID,true,false,false,44.58,E6-nocheck-seed42,false
128,bdd9b87bfea4de82567c9c170ae961886d32dd039241a9b9b6966a30e614c159,VALID,true,false,false,44.58,E6-nocheck-seed42,true
129,5909bcfe1818914c572e6ba17611bde66215a1ab1b2f97b3f7e5b928a111f043,VALID,true,false,false,54.79,E6-nocheck-seed42,false
130,108a3e6a5334cd0196d5f8f6db0507a4d6d113d8396b11eadac84d017ccc6ee3,VALID,true,false,false,52.60,E6-nocheck-seed42,false
131,118bb839791f7c3a53add9673cbbd95a683323b69a2f9c95a66b10ca82c81c78,VALID,true,false,false,52.09,E6-nocheck-seed42,false
132,a8017e70bac190b37056bae1b7b61864c6404afb31534a5b9bad111254b81705,VALID,true,false,false,52.09,E6-nocheck-seed42,false
133,97ca321840fcb49de77c890711f048b76c9a355a2b09f2d8cff68a701428c130,VALID,true,false,false,52.09,E6-nocheck-seed42,true
134,103b6c4a214182e3cb720e5d7d373a60777c6628efc7b155f5b8a9816547eed0,VALID,true,false,false,52.09,E6-nocheck-seed42,false
135,09d57ca86d0ccd8a916dea376b03f4906945262916b543f726f0dbf50e380be5,VALID,true,false,false,52.09,E6-nocheck-seed42,false
136,578da6d758cec651aaa969c999201ce2eff3015f78b8dcb38c63fcafb9e1ec63,VALID,true,false,false,52.09,E6-nocheck-seed42,false
137,6e797bc78311322b305701b6621dce25fe40fc42a31625fc91475972758879ab,VALID,true,false,false,53.05,E6-nocheck-seed42,false
138,162c9318dfab57f3c37afccffb91630a0f3b2f133472ad1ee7e9edf0ff70c4e7,VALID,true,false,false,51.47,E6-nocheck-seed42,false
139,8ddc958993749a5a1f89e046290c504310c0015958c9448e7339b588881a6368,VALID,true,false,false,51.47,E6-nocheck-seed42,false
140,2607c0911f91cf55ead17ceb700dd589587b8076fc9e3355b43326d9bcf1bd52,VALID,true,false,false,51.92,E6-nocheck-seed42,false
141,883b45cbfd7f38e0fd6d2594307ccc7856067982e940636c049344da483ebc47,VALID,true,false,false,51.92,E6-nocheck-seed42,false
