idx,txid,code,ok,submitErr,reveal,latMs,key,credit
0,821ae935ab7bcb39105a6c84aff352afa11509622e3a9612443b40214d488687,VALID,true,false,false,30.09,E6-ours-seed256,false
1,445f044ed98d65e5c568ef7c56e0d41a32119ac848d219304f5b34ad57f6371a,VALID,true,false,false,37.58,E6-ours-seed256,true
2,274d3819cac21e70adee16b2aea5827e7f5ce907d616e386cd0134a683b183cb,VALID,true,false,false,29.47,E6-ours-seed256,false
3,bc36e23f12198c4544992298ed243c326c42f5971857e91aff5406cf9affca90,VALID,true,false,false,29.47,E6-ours-seed256,true
4,d48d8de1a9c47f4b4b458f8e152167d21ccea7fd099ebc4b117e604ddf83a9b3,VALID,true,false,false,29.47,E6-ours-seed256,true
5,b949ea7b31d584d61898c71c29e4a2e58b4e7d1a44718a5519cd8210184bb31d,VALID,true,false,false,38.55,E6-ours-seed256,false
6,2b8734b093ed84efa39c160bb3f5dc408af8acb717b14047b28cb03dcdaaedfb,VALID,true,false,false,29.47,E6-ours-seed256,true
7,4eabbeb3440c6be92c28705301a12f8b4b6aaa2ff5bb7d22721e85459bc83f5a,VALID,true,false,false,38.55,E6-ours-seed256,false
8,7593dea56a87eaeda1701fe74d5fc6cfdd336e7ae3080bd80b3c85dea309b279,VALID,true,false,false,37.58,E6-ours-seed256,true
9,c4d90c9bbc59a004d9a371c4b654cf4bbd40a45dd97ef2c2889ded4479f202bf,VALID,true,false,false,60.41,E6-ours-seed256,false
10,4806a90fab8c5f10c298c7f9ce3a4878da61544118dff349baeb32078704c25b,VALID,true,false,false,49.05,E6-ours-seed256,false
11,e0c822f2ccaddc5c0b91559fff15230f310e5325a997738dbd1ceb9af85f2575,VALID,true,false,false,60.41,E6-ours-seed256,false
12,86b2b79a7ac74225e0a27c49a8edb2b6649c9c3bdca37b4e27ace7dfaf5d7de1,VALID,true,false,false,49.05,E6-ours-seed256,false
13,0a93495f893fbd8ec06a8fc5c058e122881d23d2067ba23bd485bca9a7023222,VALID,true,false,false,60.41,E6-ours-seed256,true
14,c4045ac10179140d749156ba2ade8da3535ebf89ef6f1bc0562ea92a4dd0403f,VALID,true,false,false,60.41,E6-ours-seed256,false
15,2bd66dba496d5648eba1176c0ffcc8556ba125f9f554b50e1b211714ca3f42d6,VALID,true,false,false,60.41,E6-ours-seed256,false
16,e104759a3fc9efad871fac7be97431e2e7b6757c4b0b8b6c49f448f1c989f6f3,VALID,true,false,false,71.69,E6-ours-seed256,false
17,e4b7ab1b81d1b90a17aa40028126b7784de7188d3577d1fc0450a29fdcefc676,VALID,true,false,false,29.47,E6-ours-seed256,false
18,f7dadc0b4b8620a7a4a6ac25ee81791c4361dae453a8add49112978e7bbdb4fc,VALID,true,false,false,38.55,E6-ours-seed256,true
