idx,txid,code,ok,submitErr,reveal,latMs,key,credit
0,ee4cf031918e96ffa30a211c83c79f57c9c81437f09127975696ea303d07e6f8,VALID,true,false,false,33.78,E7-ours-k1-r5,false
1,2b959531d2b661779abea3b74dd4a34f3b66cca1d3b4a58d274907c45595e49d,VALID,true,false,false,33.78,E7-ours-k1-r5,false
2,010ba45b08c204499930f8ff2e75efdbd6b286f105715121e3c016d58e95924e,VALID,true,false,false,33.78,E7-ours-k1-r5,false
3,655ac626c09ed81083ebe13841e3c39eeaa7c97a90fda1e834a4b93179bf025c,VALID,true,false,false,43.53,E7-ours-k1-r5,false
4,c946fef09c21862a986fe791c953b0a8693dcc8e81980f5d7e0834e57021779b,VALID,true,false,false,33.78,E7-ours-k1-r5,false
5,d48cae54807227b8b94f74a5f3d2f068ee8088246e43b94615bb726d72685f78,VALID,true,false,false,33.28,E7-ours-k1-r5,false
6,94f33565816668ba596b18cd8005f862b5b12c1d326313442ac5291e1454861f,VALID,true,false,false,33.28,E7-ours-k1-r5,false
7,6def3ecd270a6f9d1b1cc592cb07bbb3cf751accea1306a467936e0bf66d990f,VALID,true,false,false,51.91,E7-ours-k1-r5,false
8,60ae7789d6442a96be68ab1909b788d0162fe68febcd530fd6dee845e26d2755,VALID,true,false,false,64.82,E7-ours-k1-r5,false
9,fdb56656aed9316cb59907eba342273f4da0cdfac2a05cdffd228ce233cfeb0f,VALID,true,false,false,64.31,E7-ours-k1-r5,false
10,75223d25b838736285d72be36bcdab16cea80a404046f7a52bee0f36e9854777,VALID,true,false,false,52.47,E7-ours-k1-r5,false
11,9acfaab3db6b2ee754c8140866d1f9b5416d934da8e4fbc56e230616365f2709,VALID,true,false,false,65.38,E7-ours-k1-r5,false
12,2e6b1c029e5b8d0bd3b79b2636b4ea0edf66aec11cfc0061fb83ab9bfd5d9b82,VALID,true,false,false,76.64,E7-ours-k1-r5,false
13,f2186e9e30b681ef59e532a0e07d44718f5f3bc93ede5c45e13ba6ceada08086,VALID,true,false,false,76.64,E7-ours-k1-r5,false
14,086c172980125ae2702a9fc7d17a48693b3f66d7b97e701b252276cbf772cfa7,VALID,true,false,false,77.15,E7-ours-k1-r5,false
15,3260501f3a321a8347c92ce5105c4c9973adccfadc3f2e1bbe3d239c19a05403,VALID,true,false,false,33.78,E7-ours-k1-r5,false
16,f86bfc2c42150865de91268d0b7f26ad6572c631cd4cf02d81c1d9a5c2cf28b1,VALID,true,false,false,33.28,E7-ours-k1-r5,false
17,f896fe9677fe75417f15fc7a6180c100ea12c4e581f17c09ecc251f3bce68d40,VALID,true,false,false,77.82,E7-ours-k1-r5,false
18,2c8218975b9d9512043d4aa1950cb12319de67be4772c257c7aee059b798188b,VALID,true,false,false,77.82,E7-ours-k1-r5,false
19,5badb88b9e95abec5a97d78c34b5f2062ce9cee1c07964b3fcf2b009afb378ab,VALID,true,false,false,77.82,E7-ours-k1-r5,false
20,8265fbe37cf53b0f4036f2ce21fe9a8e7d3d9b3b8746e1e1e8b03a1bbad16000,VALID,true,false,false,54.17,E7-ours-k1-r5,false
