idx,txid,code,ok,submitErr,reveal,latMs,key,credit
0,c1512b11bf13273fdfb73fdd15a4a20d706687c46dfa2bd2b09ce8972b20f10b,VALID,true,false,false,52.45,E7-vanilla-k100-r2-k0,false
1,5463e86227b6d1724e538f66a048648166392da6da4661fe7602b7a497a2d182,VALID,true,false,false,52.45,E7-vanilla-k100-r2-k1,false
2,c8d64326b2b51b45e375dd4957f66ec7917584fd64132846a22fbeebc6d4a08d,VALID,true,false,false,74.84,E7-vanilla-k100-r2-k2,false
3,b633e329e316270cb09d7e9551b14eda7471c6b479c5fa5c5d1f723369292f56,VALID,true,false,false,31.36,E7-vanilla-k100-r2-k3,false
4,3aef4ef6e35d422aba5fd590423f08a6c327ff0cf1ae29f28f5d52cbc8188463,VALID,true,false,false,52.45,E7-vanilla-k100-r2-k4,false
5,808d90f0f0b625df16e0968566577c36a7cea493d6b5b5c6276bb94a364e28cc,VALID,true,false,false,62.58,E7-vanilla-k100-r2-k5,false
6,c192a3e6a89db3db12130ea6298852aae9e25ffb1885d70bc21bbc09f804cf47,VALID,true,false,false,52.45,E7-vanilla-k100-r2-k6,false
7,5df2ec9a1c89a72c8bf67a6ebe46c9cc98578bcf4803498e14bce4c744615f59,VALID,true,false,false,74.84,E7-vanilla-k100-r2-k7,false
8,d20a7035d3b63c5a3598cf8ca98b212b23d69fe44df0143e4df9cc44f8163e70,VALID,true,false,false,42.89,E7-vanilla-k100-r2-k8,false
9,200330c35c654050eaa4e27897b05c4ce9eaf868b270cf1d969a15801bcc8a2f,VALID,true,false,false,42.36,E7-vanilla-k100-r2-k9,false
10,105231a04aa3523392b850516221463ff6dfb200a2e0667c5c222d5c44f63d30,VALID,true,false,false,62.58,E7-vanilla-k100-r2-k10,false
11,0559cbac4bf68c900f3c85cff3deec6075a2a41b8cf95932d5a4782eeadb7895,VALID,true,false,false,52.45,E7-vanilla-k100-r2-k11,false
12,1b10b22d296f728f69c8d202aa2673c4c81d753e042ca9d4f35a984e673272e6,VALID,true,false,false,74.33,E7-vanilla-k100-r2-k12,false
13,e9bb55df30ad6cd847c1e57cbe2473a3a6b4491bceb2a0082e2d7b6c516bca6b,VALID,true,false,false,74.33,E7-vanilla-k100-r2-k13,false
14,cb7546d88d96e3dad72eb1c515c10e4ba1b07994a854544d3c23094a5ce30075,VALID,true,false,false,42.89,E7-vanilla-k100-r2-k14,false
15,ccc2b4ed027ca1a42d81a5ccec0156561e17c0818a8b398ed04f7ee9c7b16eca,VALID,true,false,false,42.36,E7-vanilla-k100-r2-k15,false
16,ad5cb669dd3bdbbd0e548f7ba2bc1c385129fac654c5a8b8dc062995c2d4f361,VALID,true,false,false,62.58,E7-vanilla-k100-r2-k16,false
