condition,concurrency,mean_tps,ci_half,n
ours,1,0.46,0.00,10
ours,5,2.27,0.01,10
ours,10,203.75,10.02,10
ours,25,562.96,18.28,10
ours,50,928.95,11.30,10
ours,100,950.36,11.28,10
nocheck,1,0.46,0.01,10
nocheck,5,2.41,0.00,10
nocheck,10,204.74,10.37,10
nocheck,25,543.72,53.96,10
nocheck,50,929.65,13.16,10
nocheck,100,939.22,20.96,10
vanilla,1,0.47,0.00,10
vanilla,5,0.46,0.00,10
vanilla,10,19.92,1.14,10
vanilla,25,15.90,4.33,10
vanilla,50,10.46,4.44,10
vanilla,100,5.61,2.37,10
append,1,0.46,0.00,10
append,5,2.25,0.00,10
append,10,197.35,10.05,10
append,25,556.65,27.06,10
append,50,903.84,37.25,10
append,100,939.20,11.65,10
