variant,deltas_per_block,us_per_block_mean,us_per_block_ci95_half,us_per_delta,slope_us_per_delta,intercept_us,r_squared,n_bench
plain,10,16.291,0.149,1.629,1.580,0.06,1.00000,15
plain,50,78.887,0.351,1.578,1.580,0.06,1.00000,15
plain,100,157.649,1.070,1.577,1.580,0.06,1.00000,15
plain,500,789.879,2.247,1.580,1.580,0.06,1.00000,15
NONNEG,10,48.104,0.177,4.810,5.127,-11.07,0.99996,15
NONNEG,50,244.716,1.773,4.894,5.127,-11.07,0.99996,15
NONNEG,100,492.618,2.664,4.926,5.127,-11.07,0.99996,15
NONNEG,500,2554.283,7.826,5.109,5.127,-11.07,0.99996,15
RANGE,10,52.775,0.530,5.277,5.505,-10.03,0.99997,15
RANGE,50,264.577,1.943,5.291,5.505,-10.03,0.99997,15
RANGE,100,531.734,2.538,5.317,5.505,-10.03,0.99997,15
RANGE,500,2744.258,11.248,5.489,5.505,-10.03,0.99997,15
